,Data
849,"Not Verified | The booked flight was Gatwick to Wellington via Dubai and Auckland. The flight to Dubai was delayed by fog at Dubai, not Emirates fault, but no one to help us get to the right gate for the onward flight. Got on plane in time but it sat there for another 2 hours. Big rush to get from AKL intl. to domestic terminal but ongoing flight delayed for over 5 hours, no plane! The return journey was delayed at AKL by 6 hours due to tropical storm so missed connection to Gatwickat Dubai. Re routed to LHr via Rome. I have been trying to get compensation from Emirates ever since. Found out today that my airmiles for the return journey had not been credited to me either. Plane, crew, food and service is great, but their customer service is absolute rubbish, will never fly with them again."
850,"Not Verified |  London to Adelaide via Dubai / Brisbane. I am very surprised that huge airlines like Emirates do not ask you to review them after your flight. Do they not want to know about problems or have feedback? Obviously not. I heard it was rated best airline but by whom? I have travelled with them and other large airlines but not been asked to vote for them good or bad. Well I review them as bad. It is not made clear during booking how much seat allocation is going to cost you until after you have paid for your flight (apparently hidden somewhere in the smallprint) You should have the opportunity DURING the booking process to add your chosen seats then you would not have to add them on extra later. I paid £180 for return flight for me and my child to sit together. That was just allocating the two cheapest seats together. The flights were £1500+. They told me I could book 2 seats together within 48 hours of flying for free if there were any left - thats if. The airport terminal in Dubai is enormous and we only just made it to the gate for the next leg on time. They need longer on the ground before next flight. Myself and my son, the people to my side that I could see clearly did not eat the food apart from scones. The green sausages looked like plasticine. The white sausages again looked and tasted of plasticine. It states clearly on the website all children travelling will be allocated child meals automatically 24 hours before travel. They do not. If I wanted my child to have child meals I had to personally phone on all 4 legs of the journey to book each one. It is not available to do this online, but meals like kosher and vegetarian are! Ridiculous. And when we boarded, after an hour of take off my son was really thirsty so pressed the bell for water - it took over 40 minutes for him to be attended and the people behind me kept pressing too but nobody came to them either. I will not choose to fly Emirates again, over priced and over rated. I've been with Malaysian Airlines and Qantas before and will go back to them next time as I never encountered one problem with either airline."
851,"✅ Trip Verified |  Flew from Dubai to Seattle, and JFK back to Dubai. First on Boeing 777 to Seattle full flight yet comfortable. I managed to have some good sleep, food was good quality, served breakfast and pizza and lunch. Crew were friendly and very helpful and flight was smooth. Return was from JFK to Dubai another 13 hrs on A380, the space in economy is huge and comfortable lucky enough the only empty seat was the one next to me so had the space to stretch and sleep, food was very tasty and again crew were very friendly and nice. Once we arrived in Dubai since I’m a resident I was at the luggage belt in less than 5 mins and in 20 mins I was in the taxi on my way home. Was really impressed with the Emirates long haul experience since this is my very first longest flights ever and it was smooth and comfortable."
852,"✅ Trip Verified |  London to Jakarta via Dubai. Had an excellent flight in Economy Class. The seats on the Boeing 777 are pretty narrow but on the A380 it was comfortable. The food was delicious. Both flight has a new entertainment system which is the best entertainment I have had. The crew were great and were friendly. Overall, I recommend this flight."
853,"✅ Trip Verified | Bahrain to London via Dubai. Our family often uses Emirates for our international flights and in the 4 years of being their customer we have never had a bad expirience. I often travel alone with 2 kids and I always find the staff to be very acomodating and helpful. Kids get their entertainment packs almost as soon as we find our seats, their meals come promptly, before other passengers and on-board nanny is always at our service. These particular flights were no different, lovely experience, perfect service, great planes and entertainment."
854,"✅ Trip Verified |  Singapore to Dubai. In my opinion emirates still remains a bench mark for comfort / services and professional flight crew. The crew takes care of you and the entertainment on board (ICE) is legendary. You will never have so much options for movies, documentaries, and so one."
855,"✅ Trip Verified |  Larnaca to Singapore via Dubai. Our flight from Cyprus got delayed more than an hour so we missed our connecting flight from Dubai to Singapore. As all other airlines do we thought that a group of flight attendants wold escort us to the new gate to catch the next flight, we also informed the flight attendants in our flight from Cyprus to Dubai to do so and they ensured us that this was going to be done and nothing to worry about. We needed to reach Singapore the following morning as we had a very important meeting arranged at the airport. However coming out the aisle none called our names and none would answer our questions on how to reach the next gate. They would only tell us that we missed the next flight as well and that there is no chance of us arriving on time to the gate to get the next one. After a lot of drama with the useless connection manager we lost a lot of valuable time with result of missing the next flight as well. It was simply horrible. Never experienced worse service in my life, not even with a budget airline. After arranging to stay in Dubai in order to have our meeting online we realized that we got an email from the airline that they rescheduled our seats for the following flight, and we could have made it on time if we saw the email earlier and not listed to the negative outcome from the unhelpful ''manager''. This is the second time this happened to my husband with this airline and we want to tell the travelers out there not to waste their valuable time and money well earned to throw it to them. Any other airline is much better!"
856,"Not Verified |  Dubai to Rome. The flight was rather comfortable and the seats were comfortable. The in-flight entertainment system is really advanced and good. There is a large selection of many things but they are missing a few. The food was good but not the best I've had on an airline. The staff and cabin crew were welcoming and helpful. However, the Wi-Fi didn't work for me."
857,"✅ Trip Verified |  Kuwait to Houston via Dubai. Very bad customer representative at Houston airport, very rude while dealing with passengers. I asked her about the location of the lounge and twice with full ignorance from her side. Then she pointed to the location and started talking to her self that I should see how busy she are (she was not, boarding not started yet)."
858,"Not Verified |  Dubai to Boston. Very disappointed. Seat narrow, doesn't like flat, not very comfortable, although supplied mattress helps a lot. Inflight entertainment system was unreliable and difficult to operate, despite multiple screens. Food was terrible and surprisingly scarce. Was hungry getting off a 12 hour flight, which is a rare experience in business on most airlines. Cabin service was lackluster at best - this was the biggest surprise. I had a hard time getting a drink then was offered bourbon when I had ordered scotch. I didn't drink it and after many hours they took it away. Much later in flight, male flight attendant argued with me that the drink had been scotch not bourbon. (I'm pretty positive I can tell the difference) If there was a 'snack' offered late in the flight (that was on the menu) I did not see or hear about it. Overall I will not choose Emirates again unless there are compelling circumstances."
859,"✅ Trip Verified |  Melbourne to Venice via Dubai. I have been flying Emirates for many years and always praised and recommend it. Not this time. And I am very angry and disappointed. I was wheelchair bound and when I arrived at the check in at Melbourne all seemed fine... until I have been taken 3 hours before my flight to the gate, gate 11 empty, alone and abandoned there. No water no one to ask for help no chance to go to a toilet as I needed assistance. When finally an attendant arrived to open the gate, I asked her if I could have a glass of water and needed a toilet she said there was none around and I had to go to another area. I was boarded and kindly a flight attendant on the plane helped me to the toilet and gave me a glass of water. She felt terrible for what I experienced but could not do much about it. She tried to make a sort of a stool with a bag to make me stretch my leg. When arrived in Dubai they told me I had to go to the service desk and tell them what happened. The guy in Dubai who took me on my wheelchair, instead, left me for a while “parked” while he was happily chatting with other friends until I waved to get his attention and asked again to be taken to the service desk. Finally at service desk I explained the situation and what I had endured in Melbourne. They said they would take me to the lounge to wait. The guy brought me to another plane where I was left, and almost missed my flight to Venice! When I received an alert from Emirates to go straight to the gate I tried to get attention again!!)!  Arrived at the gate they changed  my seat. Previously I had a seat with empty ones right and left to allow me to raise my leg and stretch it on other and I thought the change was similar. Instead they moved me to seats whose armrest was fixed and could not be lifted making it impossible for my leg to rest flat on the other seats. "
860,"✅ Trip Verified |  Venice to Melbourne via Dubai. I am now on my way back to Australia and yet again experiencing the worst customer service ever from Emirates. Just before my departure I had received an offer to upgrade from economy to business for part of my return trip from Dubai to Melbourne for AU$ 1157 . As my leg had not yet healed ( did my way into Europe on a wheelchair) and although feeling much better, I thought I could do this effort and upgrade so that I could be more comfortable. Before my departure I tried several times to do the online upgrade but unsuccessfully, as every time i filled everything and clicked “upgrade” a message came out that “the system was down”! (Note that my card was more than capable of covering the cost hence it was not a payment issue ) Tried again before I had to catch my first flight but then I had to board and had to let go. Arrived in Dubai I went to the service desk where there was only single person available to do the ticketing service and was stuck serving a person for over 20 minutes! I had another person before me and I knew I would never had time to wait so I went to another side of the service desk to ask for assistance. The lady said no one else could assist and also that she knew for sure I could not upgrade with that offer anymore as I had already started the first leg. When I explained that I did try many times to do the upgrade online before my flight but the Emirates website did not work and a message came out that the system was down (so it was not my fault) they just said they could not do anything and if I wanted to upgrade the price would not have been the same! On the plane I asked again. They had quite a few empty seats in business but they asked almost 4 times as much as the offer I had in my email (asked around 3.500 US dollars for one leg upgrade on the plane! While my offer was 1157 Australian dollars for the same which equals to us$ 864) I am so angry and disappointed but, if you want to see this from a marketing point of view Emirates has lost both in image and in money. In fact those seats have remained empty and Emirates has now another very upset and angry customer who has been loyal for years. Emirates has gone so downhill lately which is unbelievable."
861,"✅ Trip Verified | Cape Town to Melbourne via Dubai. Check-in and boarding in Cape Town were smooth. The flight to Dubai on a B777 was pleasant, with a comfortable seat which had adequate storage, and excellent food. The service was efficient but rather formal. The IFE on this flight was quite clunky. At Dubai we were bussed to the terminal, but as there was a dedicated Business Class bus this process was quite painless. Both the terminal itself and the Emirates lounge were very busy just after midnight. The second flight on an A380 was a big step up in luxury, with a more spacious seat, much more storage, more friendly cabin crew and very smooth IFE. Something went wrong with my vegetarian meal order, but it was cheerfully fixed. All in all a good experience."
862,"Not Verified |  Brussels to Tokyo via Dubai. Plenty of flights with Emirates the last few weeks with several round trips to Sydney, Brisbane and Tokyo. Being a Platinum member, Emirates upgrade me from Business to First every 4-5 flights. I rate Business class on the A380 above Business on the 77W, but also better than First. The seat in First remains awkward. To me, Emirates are outstanding for route network, lounges services and catering, website booking/managing, chauffeur pickup, seat comfort, onboard wifi, crews, and of course their unique ICE inflight entertainment. Where Emirates do not get their act together however, is for inflight catering, which remains surprisingly awful also in First. I always eat at the airport before my flight. Not sure why this is so difficult as Qatar, Cathay and Singapore Airlines do succeed in providing their premium passengers with great food."
863,"✅ Trip Verified |  San Francisco to Mumbai via Dubai. I have flown Emirates to USA last year and to Toronto this year and was really happy,but this time on my way back from San Francisco, the crew were very lethargic. Drinks we're served only once in a 16hr flight can you imagine?  Worse from Dubai to Mumbai my 4th trip same airline on that route. This time they started service after 45 min of seat belt sign going off, slow and gloomy faces and No drinks.  They said they have no time, they offered only wine. I'm thinking twice of flying Emirates again. And the food on SFO Dubai was very bad hard and uncooked. Emirates has gone down."
864,"✅ Trip Verified |  Washington to Delhi through Dubai. Everything looked fine until I reached Dubai Airport before gate. My luggage was weighed by Emirates staff (One cabin bag and a laptop bag) and I was passed through. At next stage a female staff informed that I couldn't carry my cabin luggage as there is not much space inside the flight and I will need to Check-it in. I requested to carry it inside and explained it had original property documents which were very important and I couldn't check it in (I even opened my bag and showed her that there were only the documents). While I was talking to her the Supervisor came to me, grabbed my luggage in very rude manner and took luggage back to weighing place and told I am not allowed to take a laptop bag. I explained that it is mentioned on my tickets that one carry-on item such as laptop is allowed. He said your other bag is heavier than allowed limit and I will need to pay the money for that. I told it was already passed from Washington Airport as well as here (Dubai) also. It looked like that other staff there was also not comfortable with his behavior.  Finally I requested him to let me go and I will pay the additional charge. After a lot of request and paying the amount he allowed me and told the staff to check in my luggage and didn't allow in the flight."
865,✅ Trip Verified |  Jakarta to Moscow via Dubai. Emirates ruined my vacation. Had a really awful experience with Emirates. On our way back from Jakarta to Dubai our flight was cancelled and Emirates never notified us. As a result we showed up on time of our original flight only to find out that Emirates moved us to an earlier flight without notifying us. Emirates refused to sit us on another flight and we had to buy new tickets back home all the way from Jakarta to Moscow. Even after that incident for 3 months already I’m struggling to get a confirmation that my flight was cancelled to get a compensation from my travel insurance company. And for 3 months I encounter the heaviest bureaucracy I’ve seen in years. And zero result. Never again I will fly with Emirates.
866,"✅ Trip Verified |  Hyderabad to London via Dubai. We have experienced first-hand how high-handed Emirates has become lately. We are told to check-in our carry-on luggage at the gate just before entering the flight in Hyderabad en route to LHR via Dubai. Once we reached LHR one of the checked carry-on bag went missing. We got our bag finally after 3 days of minimal communication from Emirates, only to find out our laptop got stolen along with other food items. Emirates did not inform us about missing stuff when the bag got delivered. Their customer service  responses were canned and totally put the blame on us for checking in the bag. Such a shame! "
867,"✅ Trip Verified |  Flew Dubai to Lisbon. If you are looking for a comfortable seat, don’t fly Emirates. The seats were in very bad shape and had almost zero padding. Furthermore, despite paying quite a substantial amount for the exit row seats to ensure we had extra legroom, on the Dubai to Lisbon leg, the space we paid for was constantly filled by passengers queuing up to have their photographs taken with Emirates service staff. This practice, which appeared to be encouraged by Emirates staff, resulted in great inconvenience to ourselves and many other passengers. The choice of entertainment was also below par."
868,"✅ Trip Verified |  Manchester to Durban via Dubai. I upgraded with miles to business class on both legs and qualified for the chauffeur drive at both ends. Business class is something Emirates does extremely well and the A380 business class product in particular is outstanding. B777-300ER still good but a 2-3-2 layour (instead of the 1-2-1 on the A380), seats don't lie 180 degrees flat and no personal work space/minibar. Attention from cabin staff, food etc great. Lounge at Dubai was in one of the smaller terminals so not as good as the main business class lounge but connection was short anyway. Overall well worth the miles upgrade"
869,"✅ Trip Verified |  Amsterdam to Melbourne via Dubai with Emirates in May 2018. It was genuinely a disappointing trip and  confirmed just how overrated Emirates is. On the AMS-DXB sector, every Cabin Crew member genuinely looked like they did not want to be there. People would move out of their way in the aisle to make way for the crew and were never given a single smile or ""thank you"" of acknowledgement. They were far from friendly, could not crack a smile, and appeared like emotionless robots. The seats were so uncomfortable and you could feel the framework of them beneath your behind because the seats had been sat in so many thousands of times without re-upholstering. That's not very comfortable for a 14 hour flight. The entertainment system was a joke. Please don't get me started on it. On not one, but both sectors, there was no recognition in their system that I had requested a vegetarian meal, so I was lucky to be graced with ""untouched leftover"" vegetarian meals on both sectors, but only for one meal on each flight. The Cabin Crew on the first flight couldn't stop reminding me how lucky I was and that it was my fault and patronised me, repeatedly saying ""mmm yes, just next time you must request your meal beforehand."" They seemed to have not listened to a word I said. Regardless, there was not even a vegetarian option on the actual menu. "
870,"✅ Trip Verified | This was my first experience with Emirates, and I was surprised how average it was. Maybe expectations were too high, but this experience was just not as good as Emirates promotes itself (best airline? Really?) The aircraft was not new and a few seats were damaged. The cabin was not clean. The staff were not friendly, and once they totally ignored my request for assistance. Entertainment system was not very handy: the touchscreen was not working properly on both flights, so I had to use an old and an uncomfortable joystick. I didn't like the selection of movies, either - there were many movies in the database (including Asian, Bollywood etc) but all of the Western movies were more or less of the same genre. Same with TV shows. The dinner was very good, however, only one real meal on a long haul flight was not sufficient (only an old sandwich was given before landing). There were no snacks or beverages in between. No amenity kits provided. There was wifi onboard; 2 hours free. On a positive note, you can check-in 2 bags, 32 kg each. Overall, it was all okay because Emirates flight was the cheapest one among all flights available for this route and date. I would be very disapointed otherwise, though."
871,"✅ Trip Verified |  Bangkok to Hong Kong. This was truly a flight to remember. The seat went beyond comfortable; it was luxurious. This was a short flight, so my interest in the IFE was limited to the flight map and the external cameras - what a treat! There were so many flight attendants assigned to the business cabin that the service was personalized and super attentive. Once again, I enjoyed the lounge food so much that I had little appetite left for the elaborate onboard meal. I ordered the ""mild"" chicken curry. I should known that my interpretation of mild and that of the Thai catering service might vary considerably. I had contacted Emirates customer service ahead of the flight with a special request. Their communication was exemplary, and they accommodated me beyond what I Had hoped for. The only drawback to this flight that I can comment upon is that it has spoiled me for flying with anyone else. I will have to adjust my expectations."
872,✅ Trip Verified | From the Emirates lounge in Glasgow all the way to Adelaide everything worked well. The flights were good and the transit in Dubai was fine. The first flight had excellent service whilst the flight to Adelaide the staff weren't as attentive. Good airline and I would use them again.
873,✅ Trip Verified |  Dallas to Dhaka via Dubai. Nightmare in the Sky! Horrible Experience! The flight from USA to Dubai was a chaos! They have messed up the seating arrangement for most of the passengers. They changed my assigned seat. It was an aisle seat but they changed it to a middle seat. And again changed it back as I complained after boarding the aircraft. The interior of the aircraft looked old and not clean. The worst part was food. Chicken/prawn curry with rice. These were my options and I choose chicken curry.  Snack was a small pizza which was a joke. I was hungry for the whole duration of the flight. The ticket was expensive so it was surely not a value for money.  It used to be good but now it is a hell in the sky if you have a long flight. Never again.
874,"✅ Trip Verified | Hong Kong to Bangkok. Departure delayed by an hour due to a technical fault which could not be fixed with another Emirates A380 due to fly HKG non-stop to DXB three hours 25 minutes earlier. Some passengers from that flight were transferred to ours. But why that should have resulted in a lengthy delay to our flight beats me and was never explained. As a result we had to sit on board for over an hour before push-back. Once again I found the revised upper deck layout with 100 or so Y passengers in front of business class especially annoying, this time with what seemed like a major raucous party taking place just a few rows in front of my seat. Having travelled for much of the day and connected in HKG, I found it impossible to relax, the more so as the plane was being refuelled and the lighting full on. How come refuelling took place after the scheduled departure time given that our aircraft had arrived in HKG several hours earlier? Although hungry, I skipped dinner as midnight was just too late for me. All I wanted was try and sleep but even that was difficult with the short flight time. I appreciate that technical issues do occur and I felt sorry for those who had to be involuntarily rerouted via BKK and would as a result arrive late in DXB by six hours or more. For those of us who had elected to take the Bangkok flight, though, this was maddening! The lack of detailed explanations was even more so."
875,"✅ Trip Verified |  Munich to Jakarta via Dubai. The quality and service with Emirates has gone downhill within years. Upon arrival in Munich, I am informed that one of the seats in the A380 is damaged and been told to change the seat. In addition to that, customer ignored the seating requested. The seat is damaged was located in the window seat and only middle seat available, because it is a full flight. Never experience like this before on other airline. The first food was edible and the second one (before landing) was awful. The entertainment on my seat was broken, asking staff for help but ignored this helped. The WI-FI is free for several minutes but you must pay again after that. Last leg on DXB-CGK this is at least better than the MUC-DXB route which everything works fine. The service on the A380 was unacceptable with lack of customer support who decides on changing seat for the customers that flies the A380. In the future, I will avoid their A380 because of this issues with IFE etc. I have sent complaint to the airline which I’m still waiting for any replies about this experience."
876,✅ Trip Verified | My flight on the outward journey and inward journey was late and we had to run the length of Dubai airport to catch our connecting flight. Dubai airport is huge and my husband has trouble walking let alone running. Cabin crew on return flight from Dubai to Manchester were dreadful. We were 3 and a half hours before a drink was offered but we could clearly see the staff in the galley eating and drinking and have a good old laugh. They said nothing when a man walked up the aisle cleaning his teeth with toothpaste and a brush with disgusting bits flying over the other passengers. A horrible experience from start to finish.
877,"✅ Trip Verified | Birmingham to Bangkok via Dubai. First flight, on time boarding done very efficiently due to empty flight. Crew were very nice telling passengers sat in full rows that there were free rows scattered around the plane that they could move to. Plane was brand new, great seats, great entertainment system. Food was 50/50. On time arrival into Dubai but delayed due to having to go to a remote stand and taking a bus that took 40 minutes! to get to the terminal. Got to the terminal and realised I left my onwards boarding pass on the plane but the staff issued me a new one very quickly. Second flight boarded on time as well however, we were an hour late taking off due to the weather but the crew made up for it. Like the first flight, crew were excellent and the food was a lot better on the 2nd leg. Sat on the upper deck, definitely recommend it as the more private cabin and the side compartments are really good. Overall, great experience with Emirates."
878,"✅ Trip Verified |  I had prepurchased a seat for extra legroom, but the layout didnt state that the seat is next to the staff kitchen/pantry. And because of this, I receive constant noises and laughter from the staff, even when the public lights are off, waking me up at several times. That's not all, I had paid for extra legroom, but people are constantly knocking my long stretch legs over, causing me to retract my legs all the time. Hence, the irony of purchasing an extra legroom when in fact, I don't get any throughout the flight. To make things worst, there are 2 staff seats opposite our seats, so during landing and take off, 2 staff will be sitting there. And because they are sitting there, I have to retract my  legs again. I'd paid for extra legroom, but in the end, it was a terrible experience. Never again am I going to prepurchase a legroom at the sides of the plane, especially from Emirates. Terrible experience. As for the other experiences, most of the crew were ok, they will serve and do their job, but lack the smile on their face. Not that they look rude or unhappy, it's just not the expression you will receive in flights like Singapore Air. Inflight entertainment was good, great contents, but the touchscreen was terrible. Touchscreen is based on a mouse cursor on screen. If you touch a particular button, you need to do it a few times so that the cursor will understand that it should be at your thumb. Hence, a difficult screen to control."
879,✅ Trip Verified | Auckland to London via Dubai. First time to fly on Emirates and was expecting excellent service for a big airline fleet. I was disappointed. The flight attendants seemed unhappy and unenthusiastic with what they are doing. They seemed robotic and lacked human compassion that I’ve experienced with other airlines. The seats are cramped with little leg room that I couldn’t even get pass (seated on the window side) without having to wake the sleeping person next to me. I know that economy class isn’t really first class service but I had the best time flying with Qantas!
880,"✅ Trip Verified |  We flew from London to Manila via Dubai and back. Boarding wasn't stressful. Legroom was good and the seats had a good recline. It was enough for me to sleep when I needed to. However, I did get very numb towards the end of the flights. At 8-9 hours per leg, this wasn't unexpected. The quality of the food was good. I had the gluten free meal and my partner the normal. Both flavour, variety and good portion sizes. I didn't feel like the gluten free option meant I had substandard food, so I would take this into account if you have any intolerances. The entertainment was very good. We were spoilt for choice for films and TV shows, and the inflight status was a nice extra. The larger screens were on two of our flights, and were much more responsive than the smaller, older versions on our other two flights. For the smaller screens, we just used the physical controllers, but these were easy enough to use too. All of the staff were highly professional, prompt and courteous. We had a few smiles as well.  All in all I'm very happy with my experience from Emirates. The flight weren't cheap at £580 return, but there were many cheaper options available. I'm glad we chose to pay the extra £100 for Emirates as the extra comfort went a long way for such a big journey."
881,"✅ Trip Verified | This flight was the typical Europe to Dubai flight. Every aspect of the flight in the hands of Emirates went well. The Emirates driver picked us up spot on time and delivered us to Amsterdam airport where we quickly dropped our luggage. (We were already checked in using the Emirates app which is very user-friendly). Departure was on time and we were actually more often addressed in Dutch then when flying KLM! There was a large contingent Dutch-speaking flight attendants on board. Even the captain appeared to be Dutch and all announcements were made in Dutch, English and Arabic. Priority cards were given for immigration in Dubai which went quite fast especially considering the huge amount of flights arriving around midnight in Dubai. Luggage was quickly delivered and we were driven by an Emirates driver to our hotel. Whatever negatively influenced the experience was Amsterdam Schiphol Airport. Unhelpful and unfriendly security agents, an overcrowded Aspire lounge and a total chaos at the gate."
882,"✅ Trip Verified |  Taipei to Dubai. The crew is always busy with something else on the plane instead of attending to the passengers. My light was on for the entire beginning of the flight and no one attended until I called a flight attendant. There was one compartment was open for the beginning of the aircraft descending and we had to call them to make them aware of how dangerous it is. The bathroom was dirty and not even enough toilet Paper. No crisps no chocolates no peanuts but biscuits! Everybody doesn’t want a roll if you just want to nibble and then you bring your own snacks when you already paid for a ticket and there is Not enough breakfast or lunch or Dinner of Choice.  They serve disgusting food, I am a westerner not an Asian and they offer me noodles as not enough western breakfast? They look at you like you are from another planet when you ask for snacks or Drinks. "
883,"✅ Trip Verified |  Singapore to Paris via Dubai. Our seats were changed without notice.I would like to clarify that the seat from Dubai to Paris was already allocated to us in Singapore Changi Airport. Our seats was arrange seated together. When we arrived in Dubai, they replaced us with another boarding pass. As for the luggage, They damaged my luggage with one wheel missing and replaced me with a smaller and Low quality luggage. "
884,"✅ Trip Verified |  Dubai to New York JFK. The service was very good, the crew was efficient and responsive. The condition of the toilets was very, very poor. The number of passengers using the toilets warrants that someone clean the toilets, including the floor, at regular intervals during a 13 hour flight. It is not sufficient to clean only before and after a flight. I realize crew may not see this as within their job but there is something off kilter about handing out scented warm towels, booties and toothbrushes but expecting passengers to use filthy toilets."
885,"✅ Trip Verified | Bangkok to Istanbul via Dubai. I’ve used Emirates for connecting flights several times and decided never to use it again. I recommend everyone to avoid a connecting flight in Dubai with Emirates. The airport is huge and making a transfer in the airport requires a lot of time and patience. It is always very crowded and even finding somewhere to sit except restaurants or cafes sometimes impossible. There are always long queues for security checks. The terrible flight experience in my recent flight proved it: Emirates recommends to spare at least 1 hour for making transfer in Dubai. In my latest flight from Bangkok to Istanbul, the connection time was 1hour 15 minutes. The flight from Bangkok to Dubai delayed 45 minutes, which means that I will definitely miss my flight in Dubai to Istanbul. Despite this fact, ground staff in Bangkok reassured me that I would make the connection and there would be a ground staff at Dubai airport waiting to assist for the connection flight to Istanbul. When I arrived at Dubai airport 45 minutes delayed, the ground personal informed me that my seat to Istanbul was cancelled and handed me the voucher for a hotel and food. She told me that my flight would be tomorrow at 2.30 pm UAE time. With no further assistance she left. I had many more troubles in the latter times of my journey. The response I received from the customer service regarding my complaints were not satisfactory and disrespectful. My latter complaints were totally ignored. Other issues with this airline: Their seat layout 3-4-3 seat, which means the corridors are thin and the cabin is filled more passengers. It makes you feel claustrophobic. One annoying thing about their entertainment system is that you have to watch several commercials before the movies or any other videos. Yes it is cheaper compared to other airlines and maybe should be listed in budget airline category."
886,"✅ Trip Verified | I used to brag about using Emirates but no more. Had two bad flights with them this time. Dirty tray tables, blocked toilet sinks, dirty toilets and two broken seats. Seat would not stay in one position, every time I moved the seat reclined. Interesting the cabin crew tell you seats must be in an upright position for takeoff, if it IS broken they don’t care! Had two broken seats in two flights. Customer services don’t care unless you are what they want (Business and First class). Not wasting any more money on them when you can get a budget flight at a fraction of the cost and the same service."
887,"✅ Trip Verified |  Birmingham to Cape Town via Dubai. Booked flight online for myself, partner and my 16 year old daughter only to be asked at check in for her birth certificate and a lawyers letter to enter South Africa. At no point during the flight booking did it flag up the fact these documents were required. The man on check in  kept referring to the need for a visa to enter South Africa hence the requirement for paper work. You do not need a visa to enter South Africa. Surely the need for birth certificates etc should be flagged on entering each passengers DOB to prevent this happening. I contacted the South African immigration whilst the man continued to deny my daughter and told that they would have had no problem allowing my 16 year old daughter to enter. Still she was refused. The customer service manager did not even take the time to listen to us. He appeared to take great delight in shattering my daughters long awaited visit to South Africa. Well done Emirates."
888,"✅ Trip Verified |  Dubai to Bangkok. Emirates have an economy class seats on the upper deck of their A380. I got the chance to reserve the seat in advance. The upper cabin is spacious than the lower cabin with 2-4-2 layout. Add to that the side storage bins for those seating in the window seat. The flight was full because of the Songkran Festival in Thailand. Drinks and a small pack of biscuit was given right after take off. Lunch was serve almost two hours into the flight which i guess is a bit early for a 6 hour flight. Drinks and wet towel were provided before we land. The front lavatory on the upper deck are spacious. Unfortunately, those seating on the upper deck cannot go down the lower deck to roam and stretch their legs. Emirates' ICE is was superb. I got to enjoy the view from the plane's outside camera."
889,✅ Trip Verified |  Hyderabad to New York via Dubai. Emirates standards have really dropped. Cons: Emirates b class lounge in terminal b in morning time is a joke. Food is consistently bad in these lounges and there is no a la carte. There is not a single chair to sit on. Horrible experience. Very noisy with spoons and plates clattering all the time. There are a ton of food options but all of them mass produced and on a hot dish. In flight experience also Emirates has no a la carte concept. Either you chose from that menu in those 3 hours or forget about it. No good soups or mild flavours they again gs for quantity over quality. During the entire time of 15 hours cabin crew is going by back and forth making sleep difficult. TheWorst part however is the fact that there is lounge in JFK. This is simple not acceptable. They give a 40 usd voucher which you can Use in any restaurant but almost all restaurants were closing. So I had a glass of wine and fries in McDonald’s. This is unacceptable. Pros: flight attendants on all sectors were very nice and tried to make up for an old and tired airline. Overall unless you aren’t price conscious or have to use up some old miles stay away from emirates
890,"✅ Trip Verified |  Muscat to Zurich via Dubai. I love their excellent service on the ground and in the air, the best inflight entertainment system; excellent crew, food and wine on board is superior. I  cannot fault them."
891,"✅ Trip Verified |  Zurich to Muscat via Dubai. An excellent trip with Emirates from the chauffeur pick-up in Zurich till arrival at Muscat. Wonderful travel in comfort and style on the A380 and B777. Excellent fast track in Dubai and smooth airport transfer from Gates A to Gates C. No delays and both flights on schedule. Wonderful cabin crew, super friendly and attentive. Food and drinks were great and IFE amazing. "
892,"✅ Trip Verified |  Sydney to Christchurch. Incompetence of Emirates check-in personnel that may cost me over $400 On April 8, 2018, my wife and I were travelling on EK412 from Sydney to Christchurch. We were carrying an expensive PC as a gift to our daughter for her graduation from the university that we purchased in Australia and we planned to claim tax refund. It’s a common knowledge (and a common sense, too) that goods need to be produced to a tax refund officer to obtain tax refund. To our knowledge, at Sydney Airport tax refund office is located beyond check-in, immigration and security and I intended to bring the PC there. The box was pretty bulky, and I was told that I had to check it in. It was a natural question that I asked the check-in assistant – how was I supposed to produce it to a tax refund officer if I do that. The junior assistant who was checking us in didn’t know the answer and asked her supervisor by name David. David assured us that producing receipt to a tax refund officer was sufficient to claim tax and that goods don’t need to be necessarily produced if they’re checked in, so we checked the box in along with our luggage. At the tax refund office, the officer requested me to produce the goods besides the receipt, which I was unable to do. The officer then said that I had to produce it to a tax refund officer located before check-in point, of which the airline should have informed me. When I replied that the airline advised me that the good don’t need to be produced to a tax refund officer and producing receipt alone is sufficient to claim tax refund, the officer still accepted my claim but it’s now up to decision of the main office in Canberra, whether I will receive tax refund after not being able to produce the goods. Thus, the incompetence of Emirates check-in personnel in matters of tax refund may cost me over $400 if my claim is ultimately not entertained. What are you going to do about this, Emirates?"
